Makanan,Duda Gokil (Rasa Pedas),12000,14000,DUDA adalah makanan olahan dadar usus yang terbuat dari usus ayam dan dibalut dengan tepung dan di bumbui dengan rempah-rempah pilihan dan minyak nabati.
Makanan,Duda Keren (Rasa Asin),12000,14000,DUDA adalah makanan olahan dadar usus yang terbuat dari usus ayam dan dibalut dengan tepung dan di bumbui dengan rempah-rempah pilihan dan minyak nabati.
Makanan,Ipar (Rasa Coklat),11000,13000,Ipar adalah makanan olahan yang berasal dari bahan dasar pisang.
Makanan,Ipar (Rasa Durian),11000,13000,Ipar adalah makanan olahan yang berasal dari bahan dasar pisang.
Makanan,Ipar (Rasa Stroberi),11000,13000,Ipar adalah makanan olahan yang berasal dari bahan dasar pisang.
Makanan,Joker Dejavu (Sambal Ijo),12000,14000,"Joker adalah makanan olahan berbentuk baso krispy yang diolah dari bahan dasar daginf sapi, tepung, dan dibumbi dengan rempah-rempah pilihan."
Makanan,Joker Delusi (Ekstra Pedas),12000,14000,"Joker adalah makanan olahan berbentuk baso krispy yang diolah dari bahan dasar daginf sapi, tepung, dan dibumbi dengan rempah-rempah pilihan."
Makanan,Mantan Jaim (Rasa Jangung Manis),8500,12000,"Mantan adalah makanan olahan yang berbentuk makaroni, makanan ini berbahan dasar tepung, telur dan dibumbui dengan rempah-rempah pilihan."
Makanan,Mantan Manis (Rasa Pedas Manis),8500,12000,"Mantan adalah makanan olahan yang berbentuk makaroni, makanan ini berbahan dasar tepung, telur dan dibumbui dengan rempah-rempah pilihan."
Makanan,Mantan Sadis (Rasa Ekstra Pedas),8500,12000,"Mantan adalah makanan olahan yang berbentuk makaroni, makanan ini berbahan dasar tepung, telur dan dibumbui dengan rempah-rempah pilihan."
Makanan,Setia (Rasa Coklat),8500,12000,"Setia adalah makanan olahan yang berbentuk stik, makanan ini berbahan dasar tepung, telur dan dibumbui dengan rempah-rempah pilihan."
Makanan,Setia (Rasa Keju),8500,12000,"Setia adalah makanan olahan yang berbentuk stik, makanan ini berbahan dasar tepung, telur dan dibumbui dengan rempah-rempah pilihan."
Makanan,Setia (Rasa Seledri),8500,12000,"Setia adalah makanan olahan yang berbentuk stik, makanan ini berbahan dasar tepung, telur dan dibumbui dengan rempah-rempah pilihan."
Skincare,Naina Brightning Day Cream,80000,100000,"Naina Brightning Day Cream ""All day long getting skin always protected"". Mampu mecerahkan kulit, menjaga elastisitas kulit dan membantu melawan penuaan dini, melembabkan kulit, menyamarkan flek hitam dan bekasjerawat."
Skincare,Naina Brightning Night Cream,90000,110000,"Naina Brightning Night Cream. Mampu mecerahkan kulit, menjaga elastisitas kulit dan membantu melawan penuaan dini, melembabkan kulit, menyamarkan flek hitam dan bekasjerawat."
Skincare,Naina Brightning Facial Wash,65000,85000,"Naina Brightning Facial Wash mampu membersihkan kulit, mencerahkan kulit, dan menjaga elastisitas kulit, membantu mengangkat sel kulit mati dan merancang sirkulasi darah, mengatur produksi minyak alami kulit, membantu produk perawatan bekerja maksimal."
Skincare,Naina Brightning Toner,95000,115000,"Naina Brightning Toner mampu membersihkan kulit lebih maksimal, dan melembabkan kulit, mencerahkan kulit & menghidrasi & menutrisi kulit, meningkatkan elastisitas kulit & mengencangkan pori pori, mempersiapkan kulit untuk perawatan selanjutnya."
Skincare,Naina Glowing Facial Serum,150000,175000,"Naina Glowing Facial Serum mampu membuat kulit menjadi lembut dan glowing, mencerahkan dan melembabhkan kulit, menyamarkan flek hitam, anti sging, snti oxidant, dan anti inflamasi."
Skincare,Naina Matte Lip Cream - Color: Baper,80000,100000,"Kelebihan Naina Exclusive Matte Lipcream: Pigmented, Transferproof, Longlasting, Smooth Textured, Hydrating The Lips, & Three in One (Lip Cream, Eye Shadow, Blush On)"
Skincare,Naina Matte Lip Cream - Color: Move On,80000,100000,"Kelebihan Naina Exclusive Matte Lipcream: Pigmented, Transferproof, Longlasting, Smooth Textured, Hydrating The Lips, & Three in One (Lip Cream, Eye Shadow, Blush On)"